Summary,Requirement ID,Description,,,Requirement Rationale,Notes,
Enable Checksumming for Table of cFE Tables Command,CS2290,"When the CS Application receives an ""Enable Checksumming for Table of cFE Tables"" command, the CS Application shall set ""Table of cFE Tables Checksum State"" to 'ENABLED'",,,"To enable specific checksum monitoring for the cFE Table of Tables, allowing for targeted integrity verification.",,
,,"1) Set ""Table of cFE Tables Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for all entries in the Table of cFE Tables,,,,,
Enable Checksumming for Table of cFE Tables Command Validation,CS2291,"When the CS Application receives an ""Enable Checksumming for Table of cFE Tables"" command, if:",,,To prevent data corruption or race conditions by disallowing the enabling of cFE Table of Tables checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Table of cFE Tables Command,CS2300,"When the CS Application receives a ""Disable Checksumming for Table of cFE Tables"" command that passes the validation specified in CS2301, the CS Application shall:",,,"To disable specific checksum monitoring for the cFE Table of Tables, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""Table of cFE Tables Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of the checksum for all entries in the Table of cFE Tables,,,,,
Disable Checksumming for Table of cFE Tables Command Validation,CS2301,"When the CS Application receives a ""Disable Checksumming for Table of cFE Tables"" command, if:",,,To prevent data corruption or race conditions by disallowing the disabling of cFE Table of Tables checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Report Baseline Checksum of Table of cFE Tables Entry Command,CS2310,"When the CS Application receives a ""Report Baseline Checksum of Table of cFE Tables Entry"" command that passes the validation specified in CS2311, the CS Application shall issue an event reporting the baseline checksum for the cFE table identified be the command-specified ""cFE Table Name""",,,"To provide operators with the ability to query and verify the baseline checksum value for specific cFE tables listed in the Table of cFE Tables, aiding in diagnostics.",,
Report Baseline Checksum of Table of cFE Tables Entry Command Validation,CS2311,"When the CS Application receives a ""Report Baseline Checksum of Table of cFE Tabls Entry"" command, if:",,,"To prevent invalid operations by ensuring that specified cFE Table Names are valid, exist in the Table of cFE Tables, and have a computed baseline checksum before reporting.",,
,,"1) The command-specified ""cFE Table Name"" does not match the name of an entry in the Table of cFE Tables",,,,,
,,"2) The valid Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" is 'UNUSED'",,,,,
,,"3) The baseline checksum for the Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" has not yet been calculated",,,,,
,,the CS Application shall reject the command,,,,,
Recompute Baseline Checksum of Table of cFE Tables Entry Command,CS2320,"When the CS Application receives a ""Recompute Baseline Checksum of Table of cFE Tables Entry"" command that passes the validation specified in CS2321, the CS Application shall: ",,,"To allow for the regeneration of the baseline checksum for specific cFE tables listed in the Table of cFE Tables, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,,
,,"2) Calculate the checksum for the cFE table covered by the Table of cFE Tables entry identified by the command-specified ""cFE Table Name""",,,,,
Recompute Baseline Checksum of Table of cFE Tables Entry Command Validation,CS2321,"When the CS Application receives a ""Recompute Baseline Checksum of Table of cFE Tables Entry"" command, if:",,,To prevent data corruption or race conditions by disallowing the recomputation of Table of cFE Tables entry baselines if another intensive checksum operation is already in progress or if the entry is invalid.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""cFE Table Name"" does not match the name of an entry in the Table cFE Tables",,,,,
,,"4) The valid Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for Table of cFE Tables Entry Command,CS2330,"When the CS Application receives an ""Enable Checksumming for Table of cFE Tables Entry"" command that passes the validation specified in CS2331, the CS Application shall:",,,"To enable specific checksum monitoring for individual cFE tables listed in the Table of cFE Tables, allowing for granular integrity verification.",,
,,"1) Set ""Entry Checksum State"" for the Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" to 'ENABLED'",,,,,
,,"2) Calculate the checksum for the cFE table covered by the Table of cFE Tables entry identified by the command-specified ""cFE Table Name""",,,,,
Enable Checksumming for cFE Table Entry Command Validation,CS2331,"When the CS Application receives an ""Enable Checksumming for Table of cFE Tables Entry"" command, if:",,,To prevent invalid operations by ensuring that specified cFE Table Names are valid and that no conflicting checksum operations are in progress before enabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""cFE Table Name"" does not match the name of an entry in the Table of cFE Tables",,,,,
,,"4) The valid Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Table of cFE Tables Entry Command,CS2340,"When the CS Application receives a ""Disable Checksumming for Table of cFE Tables Entry"" command that passes the validation specified in CS2341, the CS Application shall:",,,"To disable specific checksum monitoring for individual cFE tables listed in the Table of cFE Tables, allowing for granular control over resource utilization.",,
,,"1) Set ""Entry Checksum State"" for the Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" to 'DISABLED'",,,,,
,,"2) Cease the calculation of the checksum for the memory segment covered by the Table of cFE Tables entry identified by the command-specified ""cFE Table Name""",,,,,
Disable Checksumming for Table of cFE Tables Entry Command Validation,CS2341,"When the CS Application receives a ""Disable Checksumming for Table of cFE Tables Entry"" command, if:",,,To prevent invalid operations by ensuring that specified cFE Table Names are valid and that no conflicting checksum operations are in progress before disabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""cFE Table Name"" does not match the name of an entry in the Table of cFE Tables",,,,,
,,"4) The valid Table of cFE Tables entry identified by the command-specified ""cFE Table Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for Application Table Command,CS2350,"When the CS Application receives an ""Enable Checksumming for Application Table"" command that passes the validation specified in CS2351, the CS Application shall:",,,"To enable specific checksum monitoring for the Application Table, allowing for targeted integrity verification.",,
,,"1) ""Application Table Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for all entries in the Application Table,,,,,
Enable Checksumming for Application Table Command Validation,CS2351,"When the CS Application receives an ""Enable Checksumming for Application Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the enabling of Application Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Application Table Command,CS2360,"When the CS Application receives a ""Disable Checksumming for Application Table"" command that passes the validation specified in CS2361, the CS Application shall:",,,"To disable specific checksum monitoring for the Application Table, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""Application Table Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of checksums for all entries defined in the Application Table,,,,,
Disable Checksumming for Application Table Command Validation,CS2361,"When the CS Application receives a ""Disable Checksumming for Application Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the disabling of Application Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Report Baseline Checksum of Application Table Entry Command,CS2370,"When the CS Application receives a ""Report Baseline Checksum of Application Table Entry"" command that passes the validation specified in CS2371, the CS Application shall issue an event reporting the baseline checksum for the Application Table entry identified by the command-specified ""Application Name""",,,"To provide operators with the ability to query and verify the baseline checksum value for specific applications listed in the Application Table, aiding in diagnostics.",,
Report Baseline Checksum of Application Table Entry Command Validation,CS2371,"When the CS Application receives a ""Report Baseline Checksum of Application Table Entry"" command, if:",,,"To prevent invalid operations by ensuring that specified Application Names are valid, exist in the Application Table, and have a computed baseline checksum before reporting.",,
,,"1) The command-specified ""Application Name"" is not found in the Application Table",,,,,
,,"2) The valid Application Table entry identified by the command-specified ""Application Name"" is 'UNUSED'",,,,,
,,"3) The baseline checksum for the Application Table entry identified by the command-specified ""Application Name"" has not yet been calculated",,,,,
,,the CS Application shall reject the command,,,,,
Recompute Baseline Checksum of Application Command,CS2380,"When the CS Application receives a ""Recompute Baseline Checksum of Application"" command that passes the validation specified in CS2381, the CS Application shall:",,,"CS2380: To allow for the regeneration of the baseline checksum for specific applications listed in the Application Table, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,,
,,"2) Calculate the checksum for the application covered by the Application Table entry identified by the command-specified ""Application Name""",,,,,
Recompute Baseline Checksum of Application Command Validation,CS2381,"When the CS Application receives a ""Recompute Baseline Checksum of Application"" command, if:",,,To prevent data corruption or race conditions by disallowing the recomputation of Application Table entry baselines if another intensive checksum operation is already in progress or if the entry is invalid.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Application Name"" does not match the name of an entry in the Application Table",,,,,
,,"4) The valid Application Table entry identified by the command-specified ""Application Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for Application Table Entry Command,CS2390,"When the CS Application receives an ""Enable Checksumming for Application Table Entry"" command that passes the validation specified in CS2391, the CS Application shall set ""Application Checksum State"" for the command-specified ""Application Name"" to 'ENABLED'",,,"To enable specific checksum monitoring for individual applications listed in the Application Table, allowing for granular integrity verification.",,
,,"1) Set ""Entry Checksum State"" for the Application Table entry identified by the command-specified ""Application Name"" to 'ENABLED'",,,,,
,,"2) Calculate the checksum for the application covered by the Application Table entry identified by the command-specified ""Application Name""",,,,,
Enable Checksumming for Application Table Entry Command Validation,CS2391,"When the CS Application receives an ""Enable Checksumming for Application Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified Application Names are valid and that no conflicting checksum operations are in progress before enabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Application Name"" does not match the name of an entry in the Application Table",,,,,
,,"4) The valid Application Table entry identified by the command-specified ""Application Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Application Table Entry Command,CS2400,"When the CS Application receives a ""Disable Checksumming for Application Table Entry"" command that passes the validation specified in CS2401, the CS Application shall:",,,"To disable specific checksum monitoring for individual applications listed in the Application Table, allowing for granular control over resource utilization.",,
,,"1) Set ""Entry Checksum State"" for the Application Table entry identified by the command-specified ""Application Name"" to 'DISABLED'",,,,,
,,"2) Cease the calculation of the checksum for the segment of memory covered by the Application Table entry identified by the command-specified ""Application Name""",,,,,
Disable Checksumming for Application Table Entry Command Validation,CS2401,"When the CS Application receives a ""Disable Checksumming for Application Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified Application Names are valid and that no conflicting checksum operations are in progress before disabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Application Name"" does not match the name of an entry in the Application Table",,,,,
,,"4) The valid Application Table entry identified by the command-specified ""Application Name"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Housekeeping Telemetry Packet,CS3000,"When the CS Application receives a Housekeeping Request, the CS Application shall generate a timestamped housekeeping telemetry packet containing (minimally):",,,To provide operators with a comprehensive set of status indicators and performance metrics related to all checksumming operations and states for monitoring and troubleshooting.,,
,,"1) ""Commands Processed Counter""",,,,,
,,"2) ""Command Error Counter""",,,,,
,,"3) ""Global Checksum State""",,,,,
,,"4) ""Non-volatile Memory Table Checksum State""",,,,,
,,"5) ""User-defined Memory Table Checksum State""",,,,,
,,"6) ""Application Table Checksum State""",,,,,
,,"7) ""Table of cFE Tables Checksum State""",,,,,
,,"8) ""OS Checksum State""",,,,,
,,"9) ""cFE Core Checksum State""",,,,,
,,"10) ""Recompute In-Progress State""",,,,,
,,"11) ""One Shot In-Progress State""",,,,,
,,"12) ""Non-volatile Memory Table Miscompare Counter""",,,,,
,,"13) ""User-defined Memory Table Miscompare Counter""",,,,,
,,"14) ""Application Table Miscompare Counter""",,,,,
,,"15) ""Table of cFE Tables Miscompare Counter""",,,,,
,,"16) ""cFE Core Miscompare Counter""",,,,,
,,"17) ""OS Miscompare Counter""",,,,,
,,"18) ""Current Table being Checksummed""",,,,,
,,"19) ""Current Entry in Table being Checksummed""",,,,,
,,"20) ""Non-volatile Memory Baseline Checksum""",,,,,
,,"21) ""OS Baseline Checksum""",,,,,
,,"22) ""cFE Core Baseline Checksum""",,,,,
,,"23) ""Address Used in Last One Shot Command""",,,,,
,,"24) ""Size Used in Last One Shot Command""",,,,,
,,"25) ""Maximum Bytes per Cycle Used in Last One Shot Command""",,,,,
,,"26) ""Checksum Calculated in Last One Shot Command""",,,,,
,,"27) ""Passes through all Checksum Tables""",,,,,
Invalid Memory Ranges,CS4000,"When the CS Application receives a command with an invalid range of address, the CS Application shall:",,,To prevent system instability and ensure operator awareness by detecting and handling invalid memory address ranges specified in commands.,,
,,1) Issue an error event detailing how the address range is invalid and the range of addresses that is invalid,,,,,
,,2) Disable checksumming for the relevant region in memory,,,,,
Baseline Computation Completion,CS4010,"When the CS Application has completed computing the baseline checksum for a region of memory, the CS Application shall set ""Recompute In-Progress"" to 'FALSE'",,,To ensure the system accurately reflects the completion of baseline checksum computations by resetting the relevant in-progress flag.,,
One Shot Computation Completion,CS4011,"When the CS Application has completed a One Shot calculation, the CS Application shall set ""One Shot In-Progress"" to 'FALSE'",,,To ensure the system accurately reflects the completion of one-shot checksum calculations by resetting the relevant in-progress flag.,,
Checksumming Algorithm,CS4020,"When the CS Application is computing a checksum, if the Checksum State for a memory region is 'ENABLED', the CS Application shall use the CRC 16 algorithm to calculate the checksum",,,"To define a specific and consistent algorithm for checksum calculation when enabled, ensuring predictable results.",The algorithm used by CS is configurable,
Bytes Processed Limit,CS4030,"When the CS Application is computing the checksum for a region of memory, the CS Application shall cap the amount of bytes processed during each of the CS Application's execution cycles to 16,384",,,"To prevent the CS Application from monopolizing processing time by limiting the number of bytes processed per cycle, ensuring system responsiveness.",The cap to the amount of bytes processed is configurable based on how much CPU time is available,
Checksum Offset Reset,CS4040,"Whenever ""Global Checksum State"" is 'DISABLED' or upon a reset the CS Application shall start checksumming at the beginning of all memory regions",,,"To ensure that checksumming always starts from the beginning of a memory region when global checksumming is disabled or after a reset, providing a consistent starting point.",,
Memory Segment Checksum Miscomparisons,CS4050,"When the CS Application is comparing a calculated checksum to the baseline checksum of a segment of memory and the checksums are not equal, the CS Application shall:",,,To ensure operator awareness and facilitate diagnosis by incrementing counters and issuing event messages when calculated checksums do not match baseline checksums for memory segments.,,
,,1) increment the relevant Miscompare Counter,,,,,
,,2) issue an event message to notify the user of the miscomparison,,,,,
Table Checksum Miscomparisons,CS4051,"When the CS Application is comparing a calculated checksum to the baseline checksum of a modified table and the checksums are not equal, the CS Application shall:",,,To ensure data integrity and operator awareness for modified tables by recomputing the baseline checksum and notifying the user of any discrepancies.,,
,,1) recompute the table baseline checksum,,,,,
,,2) increment the relevant Miscompare Counter,,,,,
,,3) Issue an event message to notify the user of the miscomparison,,,,,
Checksum State Order of Operations,CS4060,"When the CS Application is calculating checksums, the Checksum State of the table must be 'ENABLED' for an entry in the table to be checksummed, regardless of the state of ""Entry Checksum State""",,,"To ensure that individual entry checksum states are only acted upon when the overall checksumming for the table is enabled, maintaining a hierarchical control structure.",,
User-Defined Memory Table,CS5000,"The CS Application shall provide a loadable User-Defined Memory Table containing at least 16 entries, each with the following parameters:",,,"To provide a configurable mechanism for defining and managing checksum parameters for user-defined memory regions, enabling flexible integrity checks.",Number of User-Defined Memory Table entries is configurable,
,,"1) ""Entry Checksum State""",,,,,
,,"2) ""Start Address""",,,,,
,,"3) ""Number of Bytes to Checksum""",,,,,
User-Defined Memory Table Validation,CS5001,"When a User-Defined Memory Table validation is performed, if any of the following conditions are true:",,,"To ensure the integrity and correct configuration of the User-Defined Memory Table, preventing errors and notifying operators of invalid entries.",,
,,"1) ""Entry Checksum State"" is neither 'ENABLED', 'DISABLED', or 'UNUSED'",,,,,
,,"2) ""Start Address"" is invalid",,,,,
,,"3) ""Number of Bytes to Checksum"" is greater than the number of bytes in the address range associated with ""Start Address""",,,,,
,,"4) ""Number of Bytes to Checksum"" is less than 0",,,,,
,,"5) Two entries have duplicate ""Start Address"" and ""Number of Bytes to Checksum"" values",,,,,
,,"the CS Application shall flag the table as invalid, issue an error event message, and process the remaining tables",,,,,
Non-volatile Memory Table,CS5010,"The CS Application shall provide a loadable Non-volatile Memory Table containing at least 16 entries, each with the following parameters:",,,"To provide a configurable mechanism for defining and managing checksum parameters for non-volatile memory regions, enabling flexible integrity checks.",Number of Non-volatile Memory Table entries is configurable,
,,"1) ""Entry Checksum State""",,,,,
,,"2) ""Start Address""",,,,,
,,"3) ""Number of Bytes to Checksum""",,,,,
Non-volatile Memory Table Validation,CS5011,"When a Non-volatile Memory Table validation is performed, if any of the following conditions are true:",,,"To ensure the integrity and correct configuration of the Non-volatile Memory Table, preventing errors and notifying operators of invalid entries.",,
,,"1) ""Entry Checksum State"" is neither 'ENABLED', 'DISABLED', or 'UNUSED'",,,,,
,,"2) ""Start Address"" is invalid",,,,,
,,"3) ""Number of Bytes to Checksum"" is greater than the number of bytes in the address range associated with ""Start Address""",,,,,
,,"4) ""Number of Bytes to Checksum"" is less than 0",,,,,
,,"5) Two entries have duplicate ""Start Address"" and ""Number of Bytes to Checksum"" values",,,,,
,,"the CS Application shall flag the table as invalid, issue an error event message, and process the remaining tables",,,,,
cFE Table of Tables,CS5020,"The CS Applicatoin shall provide a loadable cFE Table of Tables containing 24 entries, each with the follow parameters:",,,To provide a mechanism for defining which cFE Tables should be checksummed and their initial checksum states.,Number of cFE Table of Tables entries is configurable,
,,"1) ""Entry Checksum State""",,,,,
,,"2) ""cFE Table Name""",,,,,
cFE Table of Tables Validation,CS5021,"When a cFE Table of Tables validation is performed, if any of the following conditions are true:",,,"To ensure the integrity and correct configuration of the cFE Table of Tables, preventing errors and notifying operators of invalid entries or names.",,
,,"1) ""Entry Checksum State"" is neither 'ENABLED', 'DISABLED', or 'UNUSED'",,,,,
,,"2) ""cFE Table Name"" is an invalid string",,,,,
,,"3) ""cFE Table Name"" is not the name of an active cFE Table",,,,,
,,"4) Two entries have duplicate ""cFE Table Name"" values",,,,,
,,"the CS Application shall flag the table as invalid, issue an error event message, and process the remaining tables",,,,,
Application Table,CS5030,Each entry in the table shall contain at a minimum:,,,To define the minimum parameters required for each entry in the Application Table to enable checksumming of application code segments.,,
,,"1) ""Entry Checksum State""",,,,,
,,"2) ""Application Name""",,,,,
Application Table Validation,CS5031,"When an Application Table validation is performed, if any of the following conditions are true:",,,"To ensure the integrity and correct configuration of the Application Table, preventing errors and notifying operators of invalid entries or application names.",,
,,"1) ""Entry Checksum State"" is neither 'ENABLED', 'DISABLED', or 'UNUSED'",,,,,
,,"2) ""Application Name"" is an invalid string",,,,,
,,"3) ""Application Name"" is not the name of an active application",,,,,
,,"4) Two entries have duplicate ""Applicatoin Name"" values",,,,,
,,"the CS Application shall flag the table as invalid, issue an error event message, and process the remaining tables",,,,,
